,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
WFS1,52.94375556576183,-2.1385033412292977,0.28891536447213567,-7.401833215538613,1.3431713808004318e-13,5.2207392607486786e-11
AC093110.1,7.714067494134228,-3.9309688268501324,0.5314725270375643,-7.396372581592148,1.3995496998696045e-13,5.328856887850451e-11
CALCRL,32.98396592829954,-3.25932189496829,0.44192113761876123,-7.375347358424069,1.6391710752869276e-13,6.116402950325642e-11
HHIP,6.133946341725925,-4.441961872480291,0.6039457473491514,-7.3549021447324066,1.910670367908841e-13,6.989681775308872e-11
RAMP2,75.2871499255787,-3.3749243933063644,0.45919353223493237,-7.349677546372076,1.986855790400951e-13,7.128609323367412e-11
COL6A6,5.123459715001318,-3.8746937558718932,0.529837956995525,-7.312978816851014,2.6128421893650513e-13,9.027369764256252e-11
WWC2,17.90304683770397,-2.7956715897676814,0.38228309318036097,-7.313092416694151,2.610633284702454e-13,9.027369764256252e-11
FGD5,12.198812548524742,-2.3903605732247026,0.32707903684167317,-7.308204757805337,2.7073502771168336e-13,9.183824385485229e-11
SPTBN1,86.02064102977414,-2.067889344799236,0.28336142406844095,-7.297709459209147,2.9270784431737955e-13,9.751875448980982e-11
SLC39A8,94.52221189595463,-3.0342706458277666,0.4169680596377756,-7.276985792301857,3.413611931685477e-13,1.1173290843764201e-10
AGTPBP1,12.809800333225335,-1.6975427435143151,0.23457913927891857,-7.236546048947294,4.602554401436004e-13,1.4805147839239916e-10
CLEC3B,36.139011375193654,-4.162895880920527,0.5765638534405988,-7.220181868979088,5.19180917711685e-13,1.6417556579232047e-10
IL1RL1,3.148241743769496,-4.027491195540566,0.5607975115416656,-7.181720875452451,6.883935650029904e-13,2.1405597903767985e-10
FABP4,111.79538274017558,-6.068460137958085,0.8467769753327987,-7.16653890544564,7.691754783874899e-13,2.3525421147992453e-10
JCAD,21.512689166760882,-2.560028747912314,0.3575542249241583,-7.159833584557218,8.077505709261352e-13,2.4306778067369203e-10
FAM107A,25.18573610780697,-4.392956802238999,0.6145058265449126,-7.148763465659229,8.756305946207336e-13,2.5931174609268297e-10
CCM2L,3.361067365897474,-3.0066367052023275,0.4220058915053462,-7.12463206254607,1.0435908723916755e-12,3.042230454095545e-10
FCN3,72.58831671415427,-5.290745974935411,0.7436969985283881,-7.114115003024923,1.1263320705413245e-12,3.232919606167614e-10
GKN2,24.0010552002177,-5.901769830278629,0.8321268700124378,-7.092391849082358,1.3181364605455045e-12,3.7261321127874967e-10
NECAB1,2.2462935036368954,-3.9171927464304086,0.5546904818866811,-7.061943325774715,1.6418995722541159e-12,4.572077659633588e-10
CGNL1,19.547705180811416,-2.7593019040443547,0.39259483043121673,-7.028370447500808,2.089595120528667e-12,5.650083501985991e-10
ACADL,4.370109382594983,-3.678577321943065,0.5233047810969318,-7.029512159686693,2.07256891735105e-12,5.650083501985991e-10
GOLM1,205.93692108023563,2.9220782223659785,0.4185331727059189,6.981712353823787,2.9160371261563465e-12,7.772072094671279e-10
STX12,60.71091609213041,-1.3410975859576975,0.19217733659453326,-6.978437778993794,2.9848035194351824e-12,7.843306938324254e-10
PTPRB,12.539891625900431,-2.9880933608614075,0.42850587354677705,-6.973284487628424,3.0962560579988576e-12,8.02317351028954e-10
ACVRL1,41.30398697724331,-2.971143909344236,0.4294120996107402,-6.919096858326913,4.545320237324613e-12,1.1616717762707576e-09
RAMP3,89.01499731450382,-3.8223500878274552,0.553000802122268,-6.912015449450175,4.778158025162232e-12,1.2046769496682672e-09
LAMP3,135.75051728698656,-3.746960794517424,0.5444058059957468,-6.882661340585881,5.874457090520573e-12,1.4613299458378978e-09
LINC01996,2.1644196678349825,-5.856745441619179,0.8526561083538442,-6.868824821915995,6.473293703705473e-12,1.5891084293425396e-09
AC116407.1,3.765567938784987,-3.32056061248489,0.4846883114003868,-6.850919517516221,7.337679199733057e-12,1.7779101406418135e-09
NLRC4,5.009800377626775,-2.3375655874134305,0.34153170953536255,-6.844358875471843,7.68191237061377e-12,1.8374543474171937e-09
LIMS2,13.353011231786605,-3.2610144079642267,0.48003605108383435,-6.793269798385866,1.0962009638907205e-11,2.5888381497859713e-09
ADPRH,13.22908253097107,-1.8607520195793412,0.27476354756088944,-6.7721938957968435,1.26843980980246e-11,2.958160191435562e-09
RGCC,346.5976528910074,-3.65368246192096,0.5412804889654413,-6.750072349558185,1.477714502571674e-11,3.403669070923423e-09
SOX17,6.181225806071715,-3.0208491019720958,0.4496507827747782,-6.718211593740699,1.8396842469425668e-11,4.1857303652692035e-09
TGM1,2.8642645783886516,-2.934707545953401,0.43745008502009275,-6.708668363428494,1.964084692318005e-11,4.4149310969369904e-09
AL590226.1,2.5686591441059394,-4.64900122147492,0.6940906565048642,-6.697974072846981,2.1132874774094714e-11,4.693762436431965e-09
BMPR2,34.462833529730524,-1.807787098619432,0.2700831166984987,-6.693447264374969,2.1797360681025168e-11,4.784392449716313e-09
SPAAR,2.237987650017542,-3.651844797820106,0.5468130482562503,-6.678415611086076,2.4153924341609404e-11,5.179767430360995e-09
SASH1,12.982603182086631,-2.1137721386901536,0.3164392804097147,-6.679866469021525,2.3916006328184733e-11,5.179767430360995e-09
GIMAP8,19.996248250120132,-2.555328877291907,0.383130577714335,-6.669603069889083,2.564961919215222e-11,5.438010741681636e-09
