,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LINC02587,2.6941549730531724,-4.195900268798933,0.9715940236237863,-4.31857356753734,1.5704087629692057e-05,0.0019861387918570536
TMEM132C,6.98370493833182,-4.917314546914779,1.1400802727110095,-4.313130105498486,1.6095933154544776e-05,0.0020234333317412073
GJB2,63.3220423273655,3.6889480647739425,0.8558723765700484,4.310161381253578,1.6313545113090444e-05,0.0020385093378441402
LDHD,12.614512869138554,-3.0319867948457833,0.7039184864501948,-4.307298150579697,1.6526078629678974e-05,0.0020527750526436956
NDRG2,45.210039192020844,-2.181159954349514,0.5065503016989088,-4.30590989095094,1.6630074627462692e-05,0.0020534698066620796
GPRASP1,4.484221516071589,-2.0189803122339747,0.46973809255873317,-4.298097906508474,1.7227007085450055e-05,0.0021146657874068927
TNMD,5.009903297710483,-5.091138149485698,1.1854750773845075,-4.294597369957525,1.750106593478864e-05,0.0021233269995765656
MAB21L1,3.3371888436744026,-3.270908704477043,0.7614674096342572,-4.295533417573449,1.7427378113248995e-05,0.0021233269995765656
THRSP,77.55987689413692,-5.127733023359355,1.1945913251079998,-4.292457944055278,1.7670602763648407e-05,0.002131503690588526
CA3,9.044425220043589,-4.395593328717242,1.0247873620868386,-4.289273552092036,1.792584766771717e-05,0.002149865454769666
ABCD2,2.7713556655923464,-4.658043873673704,1.087853661087853,-4.281866247538904,1.853323751586125e-05,0.002197452275460185
AC009951.6,2.57403800368206,-3.5724577975590606,0.8342443666442195,-4.282267810724826,1.849981332492051e-05,0.002197452275460185
